technique_id,name,phases,platforms,permissions
T1156,.bash_profile and .bashrc,persistence,"Linux,macOS","User,Administrator"
T1134,Access Token Manipulation,"defense-evasion,privilege-escalation",Windows,"User,Administrator"
T1015,Accessibility Features,"persistence,privilege-escalation",Windows,Administrator
T1087,Account Discovery,discovery,"Linux,macOS,Windows",User
T1098,Account Manipulation,credential-access,Windows,Administrator
T1182,AppCert DLLs,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1103,AppInit DLLs,"persistence,privilege-escalation",Windows,Administrator
T1155,AppleScript,"execution,lateral-movement",macOS,User
T1017,Application Deployment Software,lateral-movement,"Linux,macOS,Windows",None
T1138,Application Shimming,"persistence,privilege-escalation",Windows,Administrator
T1010,Application Window Discovery,discovery,"macOS,Windows",User
T1123,Audio Capture,collection,"Linux,macOS,Windows",User
T1131,Authentication Package,persistence,Windows,Administrator
T1119,Automated Collection,collection,"Linux,macOS,Windows",User
T1020,Automated Exfiltration,exfiltration,"Linux,macOS,Windows",None
T1139,Bash History,credential-access,"Linux,macOS",User
T1009,Binary Padding,defense-evasion,"Linux,macOS,Windows",None
T1067,Bootkit,persistence,"Linux,Windows","Administrator,SYSTEM"
T1176,Browser Extensions,"collection,persistence","Linux,macOS,Windows",User
T1110,Brute Force,credential-access,"Linux,macOS,Windows",User
T1088,Bypass User Account Control,"defense-evasion,privilege-escalation",Windows,"User,Administrator"
T1042,Change Default File Association,persistence,Windows,"User,Administrator,SYSTEM"
T1146,Clear Command History,defense-evasion,"Linux,macOS",User
T1115,Clipboard Data,collection,"Linux,macOS,Windows",None
T1116,Code Signing,defense-evasion,"Windows,macOS",None
T1059,Command-Line Interface,execution,"Linux,Windows,macOS","Administrator,SYSTEM,User"
T1043,Commonly Used Port,command-and-control,"Linux,macOS,Windows",None
T1092,Communication Through Removable Media,command-and-control,"Linux,macOS,Windows",None
T1109,Component Firmware,"defense-evasion,persistence",Windows,SYSTEM
T1122,Component Object Model Hijacking,"defense-evasion,persistence",Windows,User
T1090,Connection Proxy,command-and-control,"Linux,macOS,Windows",None
T1136,Create Account,persistence,"Linux,macOS,Windows",Administrator
T1003,Credential Dumping,credential-access,Windows,"Administrator,SYSTEM"
T1081,Credentials in Files,credential-access,"Linux,macOS,Windows","User,Administrator,SYSTEM"
T1094,Custom Command and Control Protocol,command-and-control,"Linux,macOS,Windows",None
T1024,Custom Cryptographic Protocol,command-and-control,"Linux,macOS,Windows",None
T1038,DLL Search Order Hijacking,"defense-evasion,persistence,privilege-escalation",Windows,"User,Administrator,SYSTEM"
T1073,DLL Side-Loading,defense-evasion,Windows,None
T1002,Data Compressed,exfiltration,"Linux,macOS,Windows",None
T1132,Data Encoding,command-and-control,"Linux,macOS,Windows",User
T1022,Data Encrypted,exfiltration,"Linux,macOS,Windows",None
T1001,Data Obfuscation,command-and-control,"Linux,macOS,Windows",None
T1074,Data Staged,collection,"Linux,macOS,Windows",None
T1030,Data Transfer Size Limits,exfiltration,"Linux,macOS,Windows",None
T1005,Data from Local System,collection,"Linux,macOS,Windows",None
T1039,Data from Network Shared Drive,collection,"Linux,macOS,Windows",None
T1025,Data from Removable Media,collection,"Linux,macOS,Windows",None
T1140,Deobfuscate/Decode Files or Information,defense-evasion,Windows,User
T1089,Disabling Security Tools,defense-evasion,"Linux,macOS,Windows",None
T1175,Distributed Component Object Model,lateral-movement,Windows,"Administrator,SYSTEM"
T1172,Domain Fronting,command-and-control,"Linux,macOS,Windows",None
T1157,Dylib Hijacking,"persistence,privilege-escalation",macOS,User
T1173,Dynamic Data Exchange,execution,Windows,User
T1114,Email Collection,collection,Windows,None
T1106,Execution through API,execution,Windows,"User,Administrator,SYSTEM"
T1129,Execution through Module Load,execution,Windows,User
T1048,Exfiltration Over Alternative Protocol,exfiltration,"Linux,macOS,Windows",None
T1041,Exfiltration Over Command and Control Channel,exfiltration,"Linux,macOS,Windows",None
T1011,Exfiltration Over Other Network Medium,exfiltration,"Linux,macOS,Windows",None
T1052,Exfiltration Over Physical Medium,exfiltration,"Linux,macOS,Windows",None
T1068,Exploitation of Vulnerability,"credential-access,defense-evasion,lateral-movement,privilege-escalation","Linux,macOS,Windows","User,Administrator,SYSTEM"
T1133,External Remote Services,persistence,Windows,User
T1181,Extra Window Memory Injection,"defense-evasion,privilege-escalation",Windows,"Administrator,SYSTEM"
T1008,Fallback Channels,command-and-control,"Linux,macOS,Windows",None
T1107,File Deletion,defense-evasion,"Linux,Windows,macOS",User
T1006,File System Logical Offsets,defense-evasion,Windows,Administrator
T1044,File System Permissions Weakness,"persistence,privilege-escalation",Windows,"User,Administrator"
T1083,File and Directory Discovery,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM"
T1187,Forced Authentication,credential-access,Windows,User
T1144,Gatekeeper Bypass,defense-evasion,macOS,"User,Administrator"
T1061,Graphical User Interface,execution,"Linux,macOS,Windows","User,Administrator,SYSTEM"
T1148,HISTCONTROL,defense-evasion,"Linux,macOS",User
T1158,Hidden Files and Directories,"defense-evasion,persistence","Linux,macOS,Windows",User
T1147,Hidden Users,defense-evasion,macOS,"Administrator,root"
T1143,Hidden Window,defense-evasion,macOS,User
T1179,Hooking,"credential-access,persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1062,Hypervisor,persistence,Windows,"Administrator,SYSTEM"
T1183,Image File Execution Options Injection,"defense-evasion,persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1054,Indicator Blocking,defense-evasion,Windows,None
T1066,Indicator Removal from Tools,defense-evasion,"Linux,macOS,Windows",None
T1070,Indicator Removal on Host,defense-evasion,"Linux,macOS,Windows",None
T1056,Input Capture,"collection,credential-access","Linux,macOS,Windows","Administrator,SYSTEM"
T1141,Input Prompt,credential-access,macOS,User
T1130,Install Root Certificate,defense-evasion,"Linux,Windows",Administrator
T1118,InstallUtil,"defense-evasion,execution",Windows,User
T1142,Keychain,credential-access,macOS,Administrator
T1161,LC_LOAD_DYLIB Addition,persistence,macOS,User
T1149,LC_MAIN Hijacking,defense-evasion,macOS,"User,Administrator"
T1171,LLMNR/NBT-NS Poisoning,credential-access,Windows,User
T1177,LSASS Driver,"execution,persistence",Windows,"Administrator,SYSTEM"
T1159,Launch Agent,persistence,macOS,"User,Administrator"
T1160,Launch Daemon,"persistence,privilege-escalation",macOS,Administrator
T1152,Launchctl,"defense-evasion,execution,persistence",macOS,"User,Administrator"
T1168,Local Job Scheduling,"persistence,execution","Linux,macOS","Administrator,User,root"
T1162,Login Item,persistence,macOS,User
T1037,Logon Scripts,"lateral-movement,persistence","macOS,Windows",None
T1185,Man in the Browser,collection,Windows,"Administrator,SYSTEM"
T1036,Masquerading,defense-evasion,"Linux,macOS,Windows",None
T1031,Modify Existing Service,persistence,Windows,"Administrator,SYSTEM"
